Cas_Nesrece,PRVR_Vreme,PRSP_Promet,PRPV_Povrsje,stevilka_odseka,mesec,dan,dan_v_tednu
19.0,N,E,SU,465,1,18d,5
8.0,D,E,MO,26,1,17d,4
14.0,D,N,MO,332,1,17d,4
22.0,D,R,MO,300,1,19d,6
17.0,J,N,SU,629,1,16d,3
7.0,D,N,MO,75,1,17d,4
15.0,O,R,MO,2,1,17d,4
8.0,D,N,MO,11,1,18d,5
20.0,D,R,MO,36,1,17d,4
12.0,J,N,SU,8,1,13d,0
5.0,O,G,MO,652,1,14d,1
18.0,D,N,MO,1445,1,17d,4
15.0,J,G,SU,95,1,10d,4
17.0,O,N,MO,65,1,19d,6
5.0,O,N,SP,5831,1,17d,4
13.0,O,N,MO,207,1,17d,4
6.0,D,G,MO,1274,1,17d,4
20.0,O,N,MO,89,1,14d,1
12.0,O,R,SU,1061,1,19d,6
16.0,O,G,SU,1503,1,17d,4
9.0,O,N,MO,12,1,15d,2
2.0,J,N,SU,19,1,19d,6
9.0,D,R,SP,7,1,18d,5
4.0,O,R,MO,11,1,19d,6
17.0,O,N,MO,17,1,14d,1
10.0,D,E,MO,14,1,14d,1
15.0,O,N,SU,10,1,17d,4
6.0,J,N,SU,652,1,16d,3
18.0,J,N,SU,1201,1,17d,4
17.0,J,N,SU,1235,1,18d,5
13.0,O,N,SU,48,1,9d,3
17.0,D,N,MO,117,1,17d,4
18.0,J,N,SU,1349,1,7d,1
15.0,O,N,SU,223,1,15d,2
9.0,O,N,MO,21,1,17d,4
9.0,N,E,OS,54,1,19d,6
15.0,O,G,SU,48,1,15d,2
12.0,D,N,MO,534,1,17d,4
18.0,O,N,MO,1374,1,14d,1
14.0,O,G,SU,574,1,14d,1
17.0,O,N,MO,474,1,17d,4
8.0,N,E,SU,25,1,8d,2
11.0,J,G,SU,28,1,13d,0
10.0,D,R,MO,4910,1,17d,4
20.0,J,R,SU,21,1,14d,1
9.0,O,N,MO,1399,1,6d,0
14.0,J,G,SU,40,1,15d,2
14.0,O,N,MO,68,1,1d,2
10.0,N,E,OS,22,1,10d,4
19.0,O,N,SU,42,1,10d,4
19.0,J,R,SU,35,1,13d,0
13.0,O,R,MO,268,1,18d,5
12.0,O,N,SU,22,1,13d,0
11.0,D,N,MO,16,1,18d,5
14.0,O,N,SU,1275,1,17d,4
21.0,N,N,MO,12,1,17d,4
16.0,O,E,MO,14,1,19d,6
10.0,O,N,MO,4105,1,18d,5
17.0,N,E,SU,282,1,16d,3
12.0,J,N,SU,29,1,9d,3
10.0,O,E,MO,14,1,18d,5
16.0,D,G,MO,1261,1,19d,6
12.0,J,N,SU,1247,1,8d,2
1.0,O,R,SU,637,1,21d,1
17.0,O,N,MO,1085,1,20d,0
18.0,M,N,MO,1276,1,19d,6
2.0,J,R,MO,50,1,12d,6
5.0,O,N,MO,1200,1,20d,0
15.0,O,N,MO,90,1,18d,5
10.0,O,N,SU,58,1,4d,5
15.0,D,N,MO,1012,1,17d,4
14.0,O,N,MO,26,1,19d,6
7.0,D,N,MO,1481,1,20d,0
11.0,O,N,MO,50,1,20d,0
9.0,O,R,SU,4,1,17d,4
18.0,D,R,SP,990,1,18d,5
15.0,O,G,SU,5645,1,17d,4
16.0,O,N,SU,1204,1,7d,1
16.0,J,E,SU,312,1,15d,2
8.0,O,N,MO,258,1,20d,0
18.0,D,N,MO,31,1,14d,1
14.0,D,E,MO,102,1,14d,1
20.0,O,R,MO,4,1,11d,5
21.0,O,R,SU,62,1,10d,4
6.0,O,G,SU,1398,1,17d,4
7.0,O,G,SU,15,1,18d,5
11.0,O,N,MO,10,1,21d,1
11.0,O,N,MO,105,1,20d,0
14.0,O,N,SU,1400,1,16d,3
16.0,O,E,MO,10,1,18d,5
20.0,O,E,SU,112,1,9d,3
11.0,J,N,MO,9,1,20d,0
10.0,O,N,MO,118,1,20d,0
7.0,O,N,SU,1237,1,21d,1
16.0,O,G,SU,586,1,15d,2
7.0,O,N,SU,2,1,15d,2
13.0,J,R,SU,67,1,17d,4
19.0,O,N,SU,44,1,15d,2
8.0,O,N,SU,666,1,17d,4
15.0,O,N,MO,1062,1,18d,5
22.0,J,R,MO,21,1,20d,0
15.0,D,N,SP,1182,1,20d,0
17.0,O,N,SU,16,1,21d,1
18.0,O,G,MO,27,1,20d,0
12.0,O,N,SU,1334,1,15d,2
11.0,O,E,SU,207,1,21d,1
15.0,D,G,MO,1261,1,14d,1
17.0,D,N,MO,21,1,14d,1
14.0,O,G,SU,31,1,14d,1
15.0,O,N,MO,18,1,18d,5
5.0,O,N,SU,32,1,21d,1
14.0,D,R,MO,291,1,17d,4
15.0,O,N,MO,119,1,18d,5
9.0,O,R,MO,36,1,19d,6
12.0,O,N,SU,5,1,21d,1
7.0,O,N,SU,62,1,21d,1
14.0,O,N,MO,15,1,18d,5
12.0,O,N,MO,26,1,21d,1
16.0,J,N,SU,48,1,16d,3
10.0,O,N,MO,17,1,18d,5
10.0,O,N,SU,812,1,17d,4
10.0,O,N,MO,2,1,21d,1
23.0,J,R,SU,81,1,17d,4
13.0,O,G,MO,16,1,17d,4
18.0,D,E,MO,208,1,19d,6
18.0,O,N,MO,67,1,19d,6
13.0,O,N,MO,62,1,17d,4
16.0,D,N,MO,11,1,17d,4
8.0,D,N,MO,301,1,19d,6
11.0,O,N,MO,689,1,18d,5
10.0,N,E,OS,57,1,9d,3
1.0,D,R,MO,6,1,20d,0
11.0,O,R,SU,2,1,21d,1
8.0,J,N,SU,80,1,20d,0
10.0,O,N,MO,90,1,20d,0
21.0,O,N,SU,8,1,18d,5
16.0,D,R,MO,1046,1,14d,1
16.0,J,R,SU,8,1,22d,2
20.0,O,N,SU,1217,1,21d,1
9.0,O,N,SU,9,1,21d,1
16.0,O,N,SU,235,1,15d,2
10.0,O,N,SU,7,1,22d,2
18.0,D,N,MO,373,1,17d,4
13.0,O,G,SU,2,1,21d,1
11.0,J,N,SU,628,1,22d,2
17.0,O,R,SU,12,1,21d,1
23.0,J,N,SU,738,1,21d,1
16.0,J,N,SU,52,1,21d,1
13.0,O,R,MO,90,1,18d,5
17.0,J,N,MO,8,1,20d,0
22.0,S,R,SN,1090,2,1d,5
22.0,O,R,MO,72,1,17d,4
21.0,O,N,SU,644,1,8d,2
9.0,M,N,SU,17,1,21d,1
17.0,O,N,SU,28,1,21d,1
15.0,O,N,SU,25,1,17d,4
6.0,O,N,SU,1183,1,21d,1
17.0,O,N,SU,484,1,22d,2
12.0,O,N,SU,352,1,21d,1
15.0,N,E,OS,21,1,15d,2
20.0,O,R,MO,258,1,17d,4
19.0,J,N,SU,25,1,22d,2
6.0,J,N,SU,32,1,17d,4
11.0,O,N,SU,299,1,22d,2
17.0,D,G,MO,235,1,17d,4
8.0,O,N,SU,22,1,22d,2
17.0,J,G,SU,19,1,16d,3
13.0,N,E,OS,776,1,12d,6
9.0,D,E,MO,24,1,13d,0
14.0,D,N,MO,266,1,17d,4
18.0,O,N,SU,615,1,22d,2
19.0,N,E,OS,3,1,17d,4
19.0,O,N,MO,631,1,17d,4
